reference_code,records,molecules,train_molecules,record_ids_json,review_status,required_evidence
1961MAT/MCK,5,1,1,"[""rdr250199#csvline1915"",""rdr250199#csvline1916"",""rdr250199#csvline1917"",""rdr250199#csvline1918"",""rdr250199#csvline1919""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1961NIC/KOB,5,1,1,"[""rdr250199#csvline2689"",""rdr250199#csvline2690"",""rdr250199#csvline2691"",""rdr250199#csvline2692"",""rdr250199#csvline2693""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1962HAT/HIL,1,1,1,"[""rdr250199#csvline5184""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1962WAD/SMI,3,1,1,"[""rdr250199#csvline168"",""rdr250199#csvline169"",""rdr250199#csvline170""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1962WEB/KIL,1,1,1,"[""rdr250199#csvline1562""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1963BEN/MCK,5,1,1,"[""rdr250199#csvline3169"",""rdr250199#csvline3170"",""rdr250199#csvline3171"",""rdr250199#csvline3172"",""rdr250199#csvline3173""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1963HAL/COX,3,1,1,"[""rdr250199#csvline1951"",""rdr250199#csvline1952"",""rdr250199#csvline1953""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1964BER/LAR,4,1,1,"[""rdr250199#csvline1944"",""rdr250199#csvline1945"",""rdr250199#csvline1946"",""rdr250199#csvline1947""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1965COL/COU,1,1,1,"[""rdr250199#csvline11889""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1965COU/HAL,3,1,1,"[""rdr250199#csvline3075"",""rdr250199#csvline3076"",""rdr250199#csvline3077""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1965PUT/MCE,1,1,1,"[""rdr250199#csvline863""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1966WAD2,1,1,1,"[""rdr250199#csvline94""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1967SCO/BER,3,1,1,"[""rdr250199#csvline2344"",""rdr250199#csvline2345"",""rdr250199#csvline2346""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1970HAR/HEA,1,1,1,"[""rdr250199#csvline9914""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1970SEL2,1,1,1,"[""rdr250199#csvline7533""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1971KUS/WAD2,1,1,1,"[""rdr250199#csvline5181""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1971MAN/RIN,1,1,1,"[""rdr250199#csvline807""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1972MAN,1,1,1,"[""rdr250199#csvline4082""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1973AND/COU,3,1,1,"[""rdr250199#csvline804"",""rdr250199#csvline805"",""rdr250199#csvline806""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1973KON,1,1,1,"[""rdr250199#csvline92""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1974MAN4,1,1,1,"[""rdr250199#csvline12360""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1975AND/COU,3,1,1,"[""rdr250199#csvline6150"",""rdr250199#csvline6151"",""rdr250199#csvline6152""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1975BER/OLO,1,1,1,"[""rdr250199#csvline5976""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1975MAS/SCO,1,1,1,"[""rdr250199#csvline4910""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1976CIH/HYN,3,1,1,"[""rdr250199#csvline4063"",""rdr250199#csvline4064"",""rdr250199#csvline4065""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1976MEL/MAN,1,1,1,"[""rdr250199#csvline12359""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1977SVO/MAJ,5,1,1,"[""rdr250199#csvline2867"",""rdr250199#csvline2868"",""rdr250199#csvline2869"",""rdr250199#csvline2870"",""rdr250199#csvline2871""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979KUD/KUD,1,1,1,"[""rdr250199#csvline239""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979SEV,2,1,1,"[""rdr250199#csvline11173"",""rdr250199#csvline11174""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979SUN/SVE,3,1,1,"[""rdr250199#csvline13151"",""rdr250199#csvline13152"",""rdr250199#csvline13153""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1980FUC/PEA,1,1,1,"[""rdr250199#csvline8913""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981HOS/SCO2,1,1,1,"[""rdr250199#csvline9027""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981SVO/CHA,5,1,1,"[""rdr250199#csvline8692"",""rdr250199#csvline8693"",""rdr250199#csvline8694"",""rdr250199#csvline8695"",""rdr250199#csvline8696""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981VAR/BUL,1,1,1,"[""rdr250199#csvline7909""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1982BYS/MAN,1,1,1,"[""rdr250199#csvline2758""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1983FUC/HAL,1,1,1,"[""rdr250199#csvline3769""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1984MAJ/SVO2,5,1,1,"[""rdr250199#csvline3587"",""rdr250199#csvline3588"",""rdr250199#csvline3589"",""rdr250199#csvline3590"",""rdr250199#csvline3591""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1984MAJ/SVO3,3,1,1,"[""rdr250199#csvline10000"",""rdr250199#csvline10001"",""rdr250199#csvline9999""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985MAJ/SVO3,4,1,1,"[""rdr250199#csvline6189"",""rdr250199#csvline6190"",""rdr250199#csvline6191"",""rdr250199#csvline6192""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985MAR/MAN,1,1,1,"[""rdr250199#csvline7841""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985WOR/YER,4,1,1,"[""rdr250199#csvline6023"",""rdr250199#csvline6024"",""rdr250199#csvline6025"",""rdr250199#csvline6026""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1986MIC/JOS,1,1,1,"[""rdr250199#csvline3586""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1986NIL/WAD,1,1,1,"[""rdr250199#csvline8888""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1986YER/WOR,3,1,1,"[""rdr250199#csvline383"",""rdr250199#csvline384"",""rdr250199#csvline385""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1987ATI/SAI,1,1,1,"[""rdr250199#csvline10686""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1988BAS/NIL,1,1,1,"[""rdr250199#csvline2017""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1989AN/ZHE,1,1,1,"[""rdr250199#csvline4838""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1989AN/ZHE2,1,1,1,"[""rdr250199#csvline4838""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1989VIN/WOR,5,1,1,"[""rdr250199#csvline1124"",""rdr250199#csvline1125"",""rdr250199#csvline1126"",""rdr250199#csvline1127"",""rdr250199#csvline1128""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1990AN/HE,1,1,1,"[""rdr250199#csvline2646""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1990KNA/SAB,1,1,1,"[""rdr250199#csvline6315""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1990LEI/PIL2,1,1,1,"[""rdr250199#csvline2465""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1991ROZ/SAF,1,1,1,"[""rdr250199#csvline6127""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1991SHA/MIS,1,1,1,"[""rdr250199#csvline9114""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1992HE/AN,1,1,1,"[""rdr250199#csvline2644""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1992KOZ/KAB,1,1,1,"[""rdr250199#csvline5511""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1992PAP/PIM,1,1,1,"[""rdr250199#csvline4606""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1992SVO/KUB2,5,1,1,"[""rdr250199#csvline888"",""rdr250199#csvline889"",""rdr250199#csvline890"",""rdr250199#csvline891"",""rdr250199#csvline892""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1996VER/BEC,1,1,1,"[""rdr250199#csvline5854""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1999COS/EUS,1,1,1,"[""rdr250199#csvline5687""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2000MAT/MIR,1,1,1,"[""rdr250199#csvline8386""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2002VAR/AIT,1,1,1,"[""rdr250199#csvline9112""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2002VAR/PAS,1,1,1,"[""rdr250199#csvline7767""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2003EUS/LOP,1,1,1,"[""rdr250199#csvline3227""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2003MAT/MIR,1,1,1,"[""rdr250199#csvline7003""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2006RIB/CAB2,1,1,1,"[""rdr250199#csvline11598""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2006RIB/CAB5,1,1,1,"[""rdr250199#csvline5990""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2007RIC/BER,1,1,1,"[""rdr250199#csvline6972""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2008ROU/LIM,1,1,1,"[""rdr250199#csvline13458""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2009RIB/AMA,1,1,1,"[""rdr250199#csvline5139""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2009ZAI/PAU,1,1,1,"[""rdr250199#csvline12300""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2011MIR/KON,1,1,1,"[""rdr250199#csvline2998""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2014FRE/GOM2,1,1,1,"[""rdr250199#csvline2980""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2014FRE/LEI,1,1,1,"[""rdr250199#csvline5983""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2014SIM/AGA,1,1,1,"[""rdr250199#csvline6936""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2015EME/PIM,1,1,1,"[""rdr250199#csvline7133""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2015VER/SAZ,2,1,1,"[""rdr250199#csvline4917"",""rdr250199#csvline4918""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2008.04.010,1,1,1,"[""10.1016/j.jct.2008.04.010#d4#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2008.08.004,1,1,1,"[""10.1016/j.jct.2008.08.004#d3#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2019.02.001,2,1,1,"[""10.1016/j.jct.2019.02.001#d5#p1#r1"",""10.1016/j.jct.2019.02.001#d6#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1021/je025641j,1,1,1,"[""10.1021/je025641j#d1#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1021/je900093h,1,1,1,"[""10.1021/je900093h#d3#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2003ZAI/VER,5,5,0,"[""rdr250199#csvline10840"",""rdr250199#csvline11453"",""rdr250199#csvline7280"",""rdr250199#csvline8559"",""rdr250199#csvline9776""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2004PAU/ZAI,5,5,0,"[""rdr250199#csvline10839"",""rdr250199#csvline11453"",""rdr250199#csvline7280"",""rdr250199#csvline8559"",""rdr250199#csvline9776""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1021/je025634v,5,5,0,"[""10.1021/je025634v#d1#p1#r1"",""10.1021/je025634v#d12#p1#r1"",""10.1021/je025634v#d4#p1#r1"",""10.1021/je025634v#d6#p1#r1"",""10.1021/je025634v#d9#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1991VOR/KLY2,2,2,0,"[""rdr250199#csvline15727"",""rdr250199#csvline15778""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1999MO/YAN,2,2,0,"[""rdr250199#csvline10327"",""rdr250199#csvline2421""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2000RIB/RIB2,2,2,0,"[""rdr250199#csvline9381"",""rdr250199#csvline9383""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1952HUB/FIN,3,1,0,"[""rdr250199#csvline2857"",""rdr250199#csvline2858"",""rdr250199#csvline2859""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1962DAV/SUN,1,1,0,"[""rdr250199#csvline2854""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1995RIB/MAT,1,1,0,"[""rdr250199#csvline10303""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1998MAK/KAB,3,1,0,"[""rdr250199#csvline10367"",""rdr250199#csvline10368"",""rdr250199#csvline10369""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1999RIB/RIB,1,1,0,"[""rdr250199#csvline3752""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2007RIB/SAN,1,1,0,"[""rdr250199#csvline5299""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2007ROU/TEM,1,1,0,"[""rdr250199#csvline5140""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2008RIB/FIG,1,1,0,"[""rdr250199#csvline2422""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2008RIB/SAN2,1,1,0,"[""rdr250199#csvline3552""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2009MEL/PIM,1,1,0,"[""rdr250199#csvline13491""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2009RIB/CAB2,1,1,0,"[""rdr250199#csvline9395""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2012Z/NES,1,1,0,"[""rdr250199#csvline13260""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2013STE/FUL,1,1,0,"[""rdr250199#csvline10618""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2014PIM/PAS,1,1,0,"[""rdr250199#csvline12551""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2015PAS/MIR,6,1,0,"[""rdr250199#csvline13252"",""rdr250199#csvline13253"",""rdr250199#csvline13254"",""rdr250199#csvline13255"",""rdr250199#csvline13256"",""rdr250199#csvline13257""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2015ZAI/PAU,1,1,0,"[""rdr250199#csvline3966""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2021FRE/SIL,1,1,0,"[""rdr250199#csvline16407""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2008.02.004,1,1,0,"[""10.1016/j.jct.2008.02.004#d1#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2008.12.015,1,1,0,"[""10.1016/j.jct.2008.12.015#d6#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2013.01.009,1,1,0,"[""10.1016/j.jct.2013.01.009#d18#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
doi:10.1016/j.jct.2015.07.028,1,1,0,"[""10.1016/j.jct.2015.07.028#d3#p1#r1""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
