series_id,molecule_id,inchi,source_doi,T_min_K,T_max_K,T_span_K,temperature_levels,warm_levels,cold_levels,episode_eligible,monotonicity_flag,monotonicity_used_to_select_series
10.1016/j.fluid.2019.04.036#d1#p1,mol_7f19e9b39a1de529,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",10.1016/j.fluid.2019.04.036,276.3,305.2,28.9,12,3,4,False,False,False
10.1016/j.fluid.2019.04.036#d2#p1,mol_b9700272231de061,"InChI=1S/C5H11NO/c1-3-6(4-2)5-7/h5H,3-4H2,1-2H3",10.1016/j.fluid.2019.04.036,288.8,356.1,67.3,20,6,7,True,False,False
10.1016/j.fluid.2019.04.036#d3#p1,mol_f7ad98ebbc8da43b,"InChI=1S/C7H15NO/c1-3-5-8(7-9)6-4-2/h7H,3-6H2,1-2H3",10.1016/j.fluid.2019.04.036,278.5,319.4,40.9,25,9,6,True,False,False
10.1016/j.fluid.2019.04.036#d4#p1,mol_b556abff79f787db,"InChI=1S/C9H19NO/c1-3-5-7-10(9-11)8-6-4-2/h9H,3-8H2,1-2H3",10.1016/j.fluid.2019.04.036,293.1,329.6,36.5,25,6,7,True,False,False
10.1016/j.fluid.2019.04.036#d5#p1,mol_b556abff79f787db,"InChI=1S/C9H19NO/c1-3-5-7-10(9-11)8-6-4-2/h9H,3-8H2,1-2H3",10.1016/j.fluid.2019.04.036,299.3,334.7,35.4,8,3,3,True,False,False
10.1016/j.fluid.2019.112241#d1#p1,mol_f5b1d62bafd7f460,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,10.1016/j.fluid.2019.112241,276.5,328.3,51.8,27,8,9,True,True,False
10.1016/j.fluid.2019.112241#d2#p1,mol_f5b1d62bafd7f460,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,10.1016/j.fluid.2019.112241,273.3,305.2,31.9,9,3,3,True,False,False
10.1016/j.fluid.2019.112241#d3#p1,mol_f5b1d62bafd7f460,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,10.1016/j.fluid.2019.112241,273.3,304.7,31.4,22,7,8,True,False,False
10.1016/j.fluid.2019.112241#d4#p1,mol_038035dca3f815f6,"InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3",10.1016/j.fluid.2019.112241,293.2,333.1,39.9,14,5,5,True,False,False
10.1016/j.fluid.2019.112241#d5#p1,mol_038035dca3f815f6,"InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3",10.1016/j.fluid.2019.112241,308.2,338.3,30.1,8,3,2,True,False,False
10.1016/j.fluid.2019.112241#d6#p1,mol_0d35fd4ce34a5a65,"InChI=1S/C10H21NO/c1-4-6-8-11(10(3)12)9-7-5-2/h4-9H2,1-3H3",10.1016/j.fluid.2019.112241,291.8,343.6,51.8,24,7,6,True,False,False
10.1016/j.fluid.2019.112241#d7#p1,mol_8576484ee77b5757,"InChI=1S/C14H29NO/c1-4-6-8-10-12-15(14(3)16)13-11-9-7-5-2/h4-13H2,1-3H3",10.1016/j.fluid.2019.112241,331.5,364.2,32.7,14,5,4,True,True,False
10.1016/j.fluid.2019.112248#d10#p1,mol_e7c5258b801f1038,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",10.1016/j.fluid.2019.112248,293.2,308.205,15.005,4,1,1,False,True,False
10.1016/j.fluid.2019.112248#d4#p1,mol_c6ba72cee89a72d7,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m0/s1",10.1016/j.fluid.2019.112248,273.19,308.21,35.02,9,3,4,True,False,False
10.1016/j.jct.2003.09.009#d1#p1,mol_d2d85289da26a082,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",10.1016/j.jct.2003.09.009,278.15,303.15,25,6,2,2,False,False,False
10.1016/j.jct.2003.09.009#d2#p1,mol_a39fe39f3d910b4e,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",10.1016/j.jct.2003.09.009,293.15,323.15,30,7,2,2,False,False,False
10.1016/j.jct.2003.09.009#d3#p1,mol_2e538f5e181d5946,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",10.1016/j.jct.2003.09.009,313.15,323.15,10,3,1,1,False,False,False
10.1016/j.jct.2003.11.012#d19#p1,mol_ca3b44ec05c07486,"InChI=1S/C12H22S/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-12H,1-10H2",10.1016/j.jct.2003.11.012,334.984,429.965,94.981,12,5,3,True,False,False
10.1016/j.jct.2003.12.012#d10#p1,mol_b0b231c8f928cfec,"InChI=1S/C12H12S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1,3,5,7H,2,4,6,8H2",10.1016/j.jct.2003.12.012,359.977,459.961,99.984,12,4,4,True,False,False
10.1016/j.jct.2003.12.012#d11#p1,mol_b0b231c8f928cfec,"InChI=1S/C12H12S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1,3,5,7H,2,4,6,8H2",10.1016/j.jct.2003.12.012,450.48,491.016,40.536,4,1,1,False,False,False
10.1016/j.jct.2004.01.001#d1#p1,mol_670136e04246f1d5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",10.1016/j.jct.2004.01.001,308.15,308.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.01.001#d10#p1,mol_af4829eb52c939fe,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",10.1016/j.jct.2004.01.001,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.01.001#d13#p1,mol_d40206d67276aa8c,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",10.1016/j.jct.2004.01.001,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.01.001#d16#p1,mol_eb0e7cd1593e34a5,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",10.1016/j.jct.2004.01.001,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.01.001#d4#p1,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,10.1016/j.jct.2004.01.001,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.01.001#d7#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.jct.2004.01.001,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2004.04.003#d21#p1,mol_59bf6cf18de458e3,"InChI=1S/C10H18/c1-2-6-9(5-1)10-7-3-4-8-10/h9-10H,1-8H2",10.1016/j.jct.2004.04.003,383.997,405.0275,21.0305,7,2,2,False,False,False
10.1016/j.jct.2004.07.014#d1#p1,mol_f485c31dbb304f3b,InChI=1S/C2H3N/c1-2-3/h1H3,10.1016/j.jct.2004.07.014,305.51,305.51,0,1,1,1,False,False,False
10.1016/j.jct.2004.07.023#d3#p1,mol_ecea6633cd348403,"InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3",10.1016/j.jct.2004.07.023,329.02,370.08,41.06,6,4,1,False,True,False
10.1016/j.jct.2004.07.023#d6#p1,mol_1e9d2e26a6ddc23d,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",10.1016/j.jct.2004.07.023,373.15,409.56,36.41,4,1,2,False,False,False
10.1016/j.jct.2004.07.025#d1#p1,mol_d4445907461eb33b,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",10.1016/j.jct.2004.07.025,323.04,343.7,20.66,8,3,3,False,True,False
10.1016/j.jct.2004.07.025#d2#p1,mol_d4445907461eb33b,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",10.1016/j.jct.2004.07.025,335.06,424.075,89.015,13,5,3,True,True,False
10.1016/j.jct.2004.07.025#d3#p1,mol_d4445907461eb33b,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",10.1016/j.jct.2004.07.025,479.25,494.93,15.68,3,1,1,False,False,False
10.1016/j.jct.2004.08.004#d1#p1,mol_581ae09a60a3f350,"InChI=1S/C7H13N/c1-2-3-4-5-6-7-8/h2-6H2,1H3",10.1016/j.jct.2004.08.004,280.2,307.2,27,10,3,3,False,False,False
10.1016/j.jct.2004.08.004#d10#p1,mol_219e62ce59668eec,"InChI=1S/C17H33N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18/h2-16H2,1H3",10.1016/j.jct.2004.08.004,357.2,385.2,28,10,3,3,False,False,False
10.1016/j.jct.2004.08.004#d11#p1,mol_3399c27a16597145,"InChI=1S/C16H31N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h2-15H2,1H3",10.1016/j.jct.2004.08.004,348.1,382.2,34.1,12,4,4,True,False,False
10.1016/j.jct.2004.08.004#d2#p1,mol_ea37acee7bc3d9f6,"InChI=1S/C8H15N/c1-2-3-4-5-6-7-8-9/h2-7H2,1H3",10.1016/j.jct.2004.08.004,283.2,310.2,27,10,3,3,False,False,False
10.1016/j.jct.2004.08.004#d3#p1,mol_22159cf19c24ba5e,"InChI=1S/C9H17N/c1-2-3-4-5-6-7-8-9-10/h2-8H2,1H3",10.1016/j.jct.2004.08.004,285.2,323.2,38,23,5,8,True,False,False
10.1016/j.jct.2004.08.004#d4#p1,mol_58541feb3e3ef432,"InChI=1S/C10H19N/c1-2-3-4-5-6-7-8-9-10-11/h2-9H2,1H3",10.1016/j.jct.2004.08.004,295.2,326.3,31.1,12,3,3,True,False,False
10.1016/j.jct.2004.08.004#d5#p1,mol_c1c12a449ac15fd2,"InChI=1S/C11H21N/c1-2-3-4-5-6-7-8-9-10-11-12/h2-10H2,1H3",10.1016/j.jct.2004.08.004,298.2,340.3,42.1,17,6,5,True,True,False
10.1016/j.jct.2004.08.004#d6#p1,mol_f23ee274fe9afdfa,"InChI=1S/C12H23N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-11H2,1H3",10.1016/j.jct.2004.08.004,306.1,367.1,61,21,7,6,True,False,False
10.1016/j.jct.2004.08.004#d7#p1,mol_b29c79d05f29858b,"InChI=1S/C13H25N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h2-12H2,1H3",10.1016/j.jct.2004.08.004,318.1,363.2,45.1,15,5,4,True,False,False
10.1016/j.jct.2004.08.004#d8#p1,mol_30519df461efd318,"InChI=1S/C14H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h2-13H2,1H3",10.1016/j.jct.2004.08.004,327.2,369.2,42,15,5,5,True,False,False
10.1016/j.jct.2004.08.004#d9#p1,mol_9edff65ca060e7d5,"InChI=1S/C15H29N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16/h2-14H2,1H3",10.1016/j.jct.2004.08.004,336.2,372.1,35.9,13,4,4,True,False,False
10.1016/j.jct.2004.09.015#d1#p1,mol_f5b1d62bafd7f460,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,10.1016/j.jct.2004.09.015,323.15,383.15,60,7,2,2,False,False,False
10.1016/j.jct.2004.11.007#d3#p1,mol_496a55139eacec75,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",10.1016/j.jct.2004.11.007,333.15,373.15,40,2,1,1,False,False,False
10.1016/j.jct.2005.03.004#d1#p1,mol_6dc54388549b234e,"InChI=1S/CH4O/c1-2/h2H,1H3",10.1016/j.jct.2005.03.004,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2005.06.003#d1#p1,mol_d256cec7b59305ff,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,10.1016/j.jct.2005.06.003,283.15,293.15,10,3,1,1,False,False,False
10.1016/j.jct.2005.06.003#d2#p1,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,10.1016/j.jct.2005.06.003,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.jct.2005.06.003#d3#p1,mol_520d932204fca4b7,InChI=1S/C2Cl4/c3-1(4)2(5)6,10.1016/j.jct.2005.06.003,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.jct.2005.07.004#d3#p1,mol_670136e04246f1d5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",10.1016/j.jct.2005.07.004,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2005.07.015#d1#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.jct.2005.07.015,298.15,313.15,15,4,1,1,False,False,False
10.1016/j.jct.2005.07.016#d2#p1,mol_8c26cc46761de673,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,10.1016/j.jct.2005.07.016,291.95,316.75,24.8,10,3,4,False,False,False
10.1016/j.jct.2005.07.016#d4#p1,mol_77bbf943053f2531,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,10.1016/j.jct.2005.07.016,292.85,309.95,17.1,8,3,2,False,False,False
10.1016/j.jct.2005.07.016#d6#p1,mol_f45d44d06aa6449e,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",10.1016/j.jct.2005.07.016,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2005.08.001#d1#p1,mol_f5b1d62bafd7f460,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,10.1016/j.jct.2005.08.001,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2005.08.001#d4#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.jct.2005.08.001,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2005.08.003#d1#p1,mol_8095247005666df6,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",10.1016/j.jct.2005.08.003,274.5,309.1,34.6,13,4,4,True,False,False
10.1016/j.jct.2005.08.003#d2#p1,mol_b1900020b9218f7f,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3",10.1016/j.jct.2005.08.003,274.5,306.1,31.6,12,4,4,True,False,False
10.1016/j.jct.2005.08.003#d3#p1,mol_86789b7323092b84,"InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3",10.1016/j.jct.2005.08.003,274.5,309.2,34.7,12,4,4,True,False,False
10.1016/j.jct.2005.08.003#d4#p1,mol_4199743daa2b7d43,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h3-10H2,1-2H3",10.1016/j.jct.2005.08.003,281.8,309.2,27.4,10,3,3,False,False,False
10.1016/j.jct.2005.08.003#d5#p1,mol_4a28f84362f8850d,"InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-14-12(2)13/h3-11H2,1-2H3",10.1016/j.jct.2005.08.003,294,321.5,27.5,10,3,3,False,False,False
10.1016/j.jct.2005.08.003#d6#p1,mol_936b68c0e81780ff,"InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-15-13(2)14/h3-12H2,1-2H3",10.1016/j.jct.2005.08.003,305.2,329.4,24.2,9,3,3,False,False,False
10.1016/j.jct.2005.08.003#d7#p1,mol_ef45e640776b6df4,"InChI=1S/C14H28O2/c1-3-4-5-6-7-8-9-10-11-12-13-16-14(2)15/h3-13H2,1-2H3",10.1016/j.jct.2005.08.003,315.2,333.4,18.2,7,2,2,False,False,False
10.1016/j.jct.2005.08.003#d8#p1,mol_8b35c2231ef8d146,"InChI=1S/C16H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-16(2)17/h3-15H2,1-2H3",10.1016/j.jct.2005.08.003,334.4,340.5,6.1,3,1,1,False,False,False
10.1016/j.jct.2005.11.009#d1#p1,mol_b04b0d4c9f611351,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3",10.1016/j.jct.2005.11.009,284.5,323.2,38.7,14,4,4,True,True,False
10.1016/j.jct.2005.11.009#d2#p1,mol_ab9c0dd96a4d0ed3,"InChI=1S/C13H20/c1-2-3-4-5-7-10-13-11-8-6-9-12-13/h6,8-9,11-12H,2-5,7,10H2,1H3",10.1016/j.jct.2005.11.009,292.5,353.5,61,24,8,7,True,False,False
10.1016/j.jct.2005.11.009#d3#p1,mol_b5b1e7ca3cf75bf3,"InChI=1S/C16H26/c1-2-3-4-5-6-7-8-10-13-16-14-11-9-12-15-16/h9,11-12,14-15H,2-8,10,13H2,1H3",10.1016/j.jct.2005.11.009,318.2,363.4,45.2,10,3,3,True,False,False
10.1016/j.jct.2005.11.009#d4#p1,mol_919fb7158bc3ca7a,"InChI=1S/C17H28/c1-2-3-4-5-6-7-8-9-11-14-17-15-12-10-13-16-17/h10,12-13,15-16H,2-9,11,14H2,1H3",10.1016/j.jct.2005.11.009,327.3,363.8,36.5,9,3,3,True,False,False
10.1016/j.jct.2006.01.010#d2#p1,mol_8c26cc46761de673,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,10.1016/j.jct.2006.01.010,323.15,353.15,30,4,1,1,False,False,False
10.1016/j.jct.2006.01.010#d4#p1,mol_55b6d752028fb5df,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,10.1016/j.jct.2006.01.010,343.15,373.15,30,4,1,1,False,False,False
10.1016/j.jct.2006.01.010#d6#p1,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,10.1016/j.jct.2006.01.010,343.15,363.15,20,3,1,1,False,False,False
10.1016/j.jct.2006.05.007#d2#p1,mol_8505c595a856a598,"InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3",10.1016/j.jct.2006.05.007,298.249,298.249,0,1,1,1,False,False,False
10.1016/j.jct.2006.05.007#d3#p1,mol_13ff42623f3cf866,"InChI=1S/C8H18O/c1-7(2)6-9-8(3,4)5/h7H,6H2,1-5H3",10.1016/j.jct.2006.05.007,310.607,333.132,22.525,5,2,2,False,False,False
10.1016/j.jct.2006.06.010#d1#p1,mol_817b4cbdae424a61,InChI=1S/C5H8O2/c6-5-3-1-2-4-7-5/h1-4H2,10.1016/j.jct.2006.06.010,278.4,353.2,74.8,30,10,10,True,True,False
10.1016/j.jct.2006.07.004#d4#p1,mol_301d3a83ae1e6ae0,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",10.1016/j.jct.2006.07.004,303.15,303.15,0,1,1,1,False,False,False
10.1016/j.jct.2006.10.007#d18#p1,mol_caae52dfde9f4474,"InChI=1S/C9H20O/c1-3-5-7-9(10)8-6-4-2/h9-10H,3-8H2,1-2H3",10.1016/j.jct.2006.10.007,288.6,334.2,45.6,14,5,3,True,False,False
10.1016/j.jct.2006.10.007#d4#p1,mol_7d3c668ba3d76cd7,"InChI=1S/C7H16O/c1-3-5-7(8)6-4-2/h7-8H,3-6H2,1-2H3",10.1016/j.jct.2006.10.007,275.3,311.2,35.9,13,4,4,True,False,False
10.1016/j.jct.2006.10.012#d11#p1,mol_eb7e3a4f6555939a,"InChI=1S/C11H11N/c1-8-3-6-11-10(7-8)5-4-9(2)12-11/h3-7H,1-2H3",10.1016/j.jct.2006.10.012,336.987,414.963,77.976,11,4,4,True,False,False
10.1016/j.jct.2006.10.012#d12#p1,mol_eb7e3a4f6555939a,"InChI=1S/C11H11N/c1-8-3-6-11-10(7-8)5-4-9(2)12-11/h3-7H,1-2H3",10.1016/j.jct.2006.10.012,411.209,476.574,65.365,8,3,2,True,False,False
10.1016/j.jct.2006.11.012#d3#p1,mol_df510fa609bec4ab,"InChI=1S/C8H5F13/c1-2-3(9,10)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h2H2,1H3",10.1016/j.jct.2006.11.012,298.31,312.81,14.5,4,1,1,False,True,False
10.1016/j.jct.2007.01.017#d3#p1,mol_71ac04ebc05b85f5,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",10.1016/j.jct.2007.01.017,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2007.03.008#d12#p1,mol_e6f8f97a2caa00b9,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,10.1016/j.jct.2007.03.008,298.15,318.15,20,3,1,1,False,False,False
10.1016/j.jct.2007.03.008#d3#p1,mol_8c26cc46761de673,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,10.1016/j.jct.2007.03.008,298.15,318.15,20,3,1,1,False,False,False
10.1016/j.jct.2007.03.008#d6#p1,mol_c5207e620c9fcfd3,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,10.1016/j.jct.2007.03.008,298.15,318.15,20,3,1,1,False,False,False
10.1016/j.jct.2007.03.008#d9#p1,mol_d2d85289da26a082,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",10.1016/j.jct.2007.03.008,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2007.03.011#d1#p1,mol_6164d1ee39a4a3b0,"InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2",10.1016/j.jct.2007.03.011,306.3,361.8,55.5,22,4,7,True,True,False
10.1016/j.jct.2007.06.017#d5#p1,mol_c5207e620c9fcfd3,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,10.1016/j.jct.2007.06.017,323.15,323.15,0,1,1,1,False,False,False
10.1016/j.jct.2007.09.008#d1#p1,mol_f764f99572350169,InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2,10.1016/j.jct.2007.09.008,283.2,343.2,60,7,2,2,False,False,False
10.1016/j.jct.2008.01.009#d15#p1,mol_3deaee44f66bb29c,"InChI=1S/C10H10/c1-2-6-10-8-4-3-7-9(10)5-1/h1-3,5-7H,4,8H2",10.1016/j.jct.2008.01.009,289.999,369.98,79.981,10,4,3,True,False,False
10.1016/j.jct.2008.01.009#d16#p1,mol_3deaee44f66bb29c,"InChI=1S/C10H10/c1-2-6-10-8-4-3-7-9(10)5-1/h1-3,5-7H,4,8H2",10.1016/j.jct.2008.01.009,362.707,423.056,60.349,9,3,3,True,False,False
10.1016/j.jct.2008.01.012#d1#p1,mol_12e118695cfaacad,"InChI=1S/C7H18N2/c1-3-9(4-2)7-5-6-8/h3-8H2,1-2H3",10.1016/j.jct.2008.01.012,303.15,343.15,40,5,2,2,False,False,False
10.1016/j.jct.2008.01.012#d2#p1,mol_538c4f0d7c4ce97e,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",10.1016/j.jct.2008.01.012,303.15,323.15,20,3,1,1,False,False,False
10.1016/j.jct.2008.01.024#d7#p1,mol_c5207e620c9fcfd3,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,10.1016/j.jct.2008.01.024,323.15,323.15,0,1,1,1,False,False,False
10.1016/j.jct.2008.01.024#d9#p1,mol_71ac04ebc05b85f5,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",10.1016/j.jct.2008.01.024,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2008.02.012#d1#p1,mol_0c2b699f18ff1976,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,10.1016/j.jct.2008.02.012,274.2,304.1,29.9,16,5,6,False,False,False
10.1016/j.jct.2008.02.012#d2#p1,mol_2e302d909c9e5e5c,"InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3",10.1016/j.jct.2008.02.012,273.1,315.2,42.1,31,9,12,True,True,False
10.1016/j.jct.2008.02.012#d3#p1,mol_8328a6e934e84481,"InChI=1S/C7H14O3/c1-3-5-9-7(8)10-6-4-2/h3-6H2,1-2H3",10.1016/j.jct.2008.02.012,273.9,318.2,44.3,24,7,10,True,True,False
10.1016/j.jct.2008.02.012#d4#p1,mol_7ea8ab72c1e55be3,"InChI=1S/C9H18O3/c1-3-5-7-11-9(10)12-8-6-4-2/h3-8H2,1-2H3",10.1016/j.jct.2008.02.012,287.1,329.1,42,21,6,4,True,False,False
10.1016/j.jct.2008.02.012#d5#p1,mol_443f8c4011897804,"InChI=1S/C15H14O3/c16-15(17-11-13-7-3-1-4-8-13)18-12-14-9-5-2-6-10-14/h1-10H,11-12H2",10.1016/j.jct.2008.02.012,353.8,373.6,19.8,11,3,4,False,False,False
10.1016/j.jct.2008.02.016#d2#p1,mol_538c4f0d7c4ce97e,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",10.1016/j.jct.2008.02.016,303.15,323.15,20,3,1,1,False,False,False
10.1016/j.jct.2008.03.017#d1#p1,mol_7663493163cbdca1,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,10.1016/j.jct.2008.03.017,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2008.03.017#d3#p1,mol_953db3858ca974a4,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,10.1016/j.jct.2008.03.017,298.15,328.15,30,2,1,1,False,False,False
10.1016/j.jct.2008.03.017#d5#p1,mol_71ac04ebc05b85f5,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",10.1016/j.jct.2008.03.017,298.15,328.15,30,2,1,1,False,False,False
10.1016/j.jct.2008.03.017#d9#p1,mol_ce86a4b54495b02c,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,10.1016/j.jct.2008.03.017,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.jct.2008.04.010#d10#p1,mol_f46d941ea8c759da,InChI=1S/C22H16/c1-2-7-17(8-3-1)20-11-6-12-21(15-20)22-14-13-18-9-4-5-10-19(18)16-22/h1-16H,10.1016/j.jct.2008.04.010,413.17,413.17,0,1,1,1,False,False,False
10.1016/j.jct.2008.07.024#d1#p1,mol_2901cf755cab0466,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",10.1016/j.jct.2008.07.024,303.15,323.15,20,3,1,1,False,False,False
10.1016/j.jct.2008.07.024#d3#p1,mol_538c4f0d7c4ce97e,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",10.1016/j.jct.2008.07.024,303.15,323.15,20,3,1,1,False,False,False
10.1016/j.jct.2008.09.020#d3#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.jct.2008.09.020,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.jct.2008.10.008#d24#p1,mol_9472915240012651,"InChI=1S/C14H22/c1-13(2,3)11-7-9-12(10-8-11)14(4,5)6/h7-10H,1-6H3",10.1016/j.jct.2008.10.008,354.981,394.968,39.987,7,3,2,True,False,False
10.1016/j.jct.2009.04.005#d1#p1,mol_670136e04246f1d5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",10.1016/j.jct.2009.04.005,298.15,298.15,0,1,1,1,False,False,False
